Full context	Stimulus_animacy	Construction_type	Verb	Stimulus_encoding	Participle_case
  И действительно, мое письмо поставило Есенина в несколько стесненное положение перед редакцией «Нового журнала для всех», он был мной незаслуженно обижен.  [H. H. Ливкин. В «Млечном пути» (1965)] [омонимия не снята]	anim	cop	obidet	instrumental	
 Это законный вопрос, но вы, наверное, догадываетесь, какой будет ответ.  Я был обижен вашей матерью.  Я чувствовал себя глубоко оскорбленным, но потом я ее простил, я писал ей об этом…  [Федор Кнорре. Родная кровь (1962)] [омонимия не снята]	anim	cop	obidet	instrumental	
 Даниилу, но потом дерзнул.  Он был немного обижен твоими подозрениями.  И я увидел, что и правда тебя отечески любит.  [В. Д. Пришвина. Невидимый град (1962)] [омонимия не снята]	inan	cop	obidet	instrumental	
 Оба попрощались как-то скомканно, впопыхах, и у них был такой вид, точно они чем-то обижены.  [Юрий Трифонов. Утоление жажды (1959-1962)] [омонимия не снята]	inan	null	obidet	instrumental	
 Мелок тот душой, кто, проспав рождение солнца, сразу нырнет в обычные дела, закрутится в домашних заботах ― заболела корова, обижен бригадиром, стращают судом.  [Владимир Тендряков. Суд (1960)] [омонимия не снята]	anim	null	obidet	instrumental	
 Худенькая, немолодая, она жила обидой и на самом деле была обижена тем, что живет без мужа, что занимает полуподвал, что ей одной нужно кормить двоих детей, что никогда ей не видать чистой работы.  [Рид Грачев. Дом стоял на окраине (1959)] [омонимия не снята]	inan	cop	obidet	instrumental	
  ― Ну, чего там…  Я вами не обижен.  Бывайте здоровы!  [Валентина Осеева. Динка (1959)] [омонимия не снята]	anim	null	obidet	instrumental	
 Это известно-с…  Нами обижены не будете.  Вот как бы с  [Валентина Осеева. Динка (1959)] [омонимия не снята]	anim	cop	obidet	instrumental	
  Давыдов рассмеялся, хотя и был обижен Лушкиными словами и предложенным обменом.  [М. А. Шолохов. Поднятая целина. Книга 2 (1959)] [омонимия не снята]	inan	cop	obidet	instrumental	
 А те, кто их видел, были очень обижены тем, что их столкнули в яму, и громко возмущались.  [Виталий Мелентьев. 33 Марта. 2005 год (1958)] [омонимия не снята]	inan	cop	obidet	instrumental	
  Он был обижен тем, что Изя не понял всей прелести начатого разговора и влез в него, как скучный черт из сказки.  [К. Г. Паустовский. Повесть о жизни. Время больших ожиданий (1958)] [омонимия не снята]	inan	cop	obidet	instrumental	
